Category,Title,Description,Size1,SPrice1,Size2,SPrice2,Size3 ,SPrice3,,,,,Option1,OPrice1,Option2 ,Oprice2,Option3,Oprice3,Option4,Oprice4
XTREME ORIGINAL PIZZAS,BBQ Bacon Cheeseburger PIzza,"Zesty BBQ sauce, double hamburger, real bacon, onions, tomatoes, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Big Xtreme Pizza,"Thousand island dressing, hamburger, pickles, green onions, tomatoes, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Chicken Caesar Pizza,"Garlic butter, chicken, green onions, real bacon, oregano, caesar dressing, mozzarella & parmesan cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Chicken Fajita PIzza,"Salsa, chicken, green peppers, onions, tomatoes, hot peppers, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Chicken Parmesan Pizza,"Pizza sauce, mushrooms, red onions, chicken, mozzarella, oregano, parmesan cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Chili PIzza,"Chili, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Double Brothers Pepperoni PIzza,"Spicy sauce, Double Brothers Pepperoni (your choice of two vegetables) , mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Hearty Vegetarian Pizza,"Tomatoes, green peppers, mushrooms, red onions, broccoli, pineapple, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Hot Hamburger,"Gravy, hamburger, onions, stuffing, mozzarella & cheddar cheeee. With cranberriews on the side. ",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Peppercorn Chicken Ranch PIzza,"Chicken, ranch sauce, peppercorns, red onions, mushrooms, green peppers, tomatoes, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Philly Steak Pizza,"Steak, red onions, green oeooers, musherooms, tomatoes, mozzarella & cheddar cheesee",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Spicy Clubhouse PIzza ,"Creamy mayonnaise, spicy cehicken, green onions, sliced tomatoes, real bacon, mozzarella & cheddar cheese",9Ó,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XTREME ORIGINAL PIZZAS,Thanksgiving PIzza,"Gravy, chicken, stuffing, onions, mozzarella & cheddar cheese. With cranberries on the side.",,12.85,12Ó,17.00,16Ó,20.90,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Onion Ring Burger Pizza,"PIzza sauce, hamburger, onion rings, tomatoes, bagon & a drizzle of hot sauce, mozzarella & cheddar cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Amazing PIzza,"Donair sauce, donair meat, mushrooms, onions, tomatoes, real bacon, mozzarella & cheddare cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Chicken Broccoli PIzza,"Chicken, broccoli, red onions, oregano, real bacon, mozzarella & parmesan cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Hero Pizza,"Donair sauce, donair meat, onions, tomatoes, mozzarella cheese & more donair sauce",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Hot Chicken Tamalie PIzza,"Pizza sauce, hot sauce, spicy chicken, red onions, jalapenos, hot peppers, mozzarella & cheddar cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
